DATE,UNRATE
1976-01-01,7.9
1976-02-01,7.7
1976-03-01,7.6
1976-04-01,7.7
1976-05-01,7.4
1976-06-01,7.6
1976-07-01,7.8
1976-08-01,7.8
1976-09-01,7.6
1976-10-01,7.7
1976-11-01,7.8
1976-12-01,7.8
1977-01-01,7.5
1977-02-01,7.6
1977-03-01,7.4
1977-04-01,7.2
1977-05-01,7.0
1977-06-01,7.2
1977-07-01,6.9
1977-08-01,7.0
1977-09-01,6.8
1977-10-01,6.8
1977-11-01,6.8
1977-12-01,6.4
1978-01-01,6.4
1978-02-01,6.3
1978-03-01,6.3
1978-04-01,6.1
1978-05-01,6.0
1978-06-01,5.9
1978-07-01,6.2
1978-08-01,5.9
1978-09-01,6.0
1978-10-01,5.8
1978-11-01,5.9
1978-12-01,6.0
1979-01-01,5.9
1979-02-01,5.9
1979-03-01,5.8
1979-04-01,5.8
1979-05-01,5.6
1979-06-01,5.7
1979-07-01,5.7
1979-08-01,6.0
1979-09-01,5.9
1979-10-01,6.0
1979-11-01,5.9
1979-12-01,6.0
1980-01-01,6.3
1980-02-01,6.3
1980-03-01,6.3
1980-04-01,6.9
1980-05-01,7.5
1980-06-01,7.6
1980-07-01,7.8
1980-08-01,7.7
1980-09-01,7.5
1980-10-01,7.5
1980-11-01,7.5
1980-12-01,7.2
1981-01-01,7.5
1981-02-01,7.4
1981-03-01,7.4
1981-04-01,7.2
1981-05-01,7.5
1981-06-01,7.5
1981-07-01,7.2
1981-08-01,7.4
1981-09-01,7.6
1981-10-01,7.9
1981-11-01,8.3
1981-12-01,8.5
1982-01-01,8.6
1982-02-01,8.9
1982-03-01,9.0
1982-04-01,9.3
1982-05-01,9.4
1982-06-01,9.6
1982-07-01,9.8
1982-08-01,9.8
1982-09-01,10.1
1982-10-01,10.4
1982-11-01,10.8
1982-12-01,10.8
1983-01-01,10.4
1983-02-01,10.4
1983-03-01,10.3
1983-04-01,10.2
1983-05-01,10.1
1983-06-01,10.1
1983-07-01,9.4
1983-08-01,9.5
1983-09-01,9.2
1983-10-01,8.8
1983-11-01,8.5
1983-12-01,8.3
1984-01-01,8.0
1984-02-01,7.8
1984-03-01,7.8
1984-04-01,7.7
1984-05-01,7.4
1984-06-01,7.2
1984-07-01,7.5
1984-08-01,7.5
1984-09-01,7.3
1984-10-01,7.4
1984-11-01,7.2
1984-12-01,7.3
1985-01-01,7.3
1985-02-01,7.2
1985-03-01,7.2
1985-04-01,7.3
1985-05-01,7.2
1985-06-01,7.4
1985-07-01,7.4
1985-08-01,7.1
1985-09-01,7.1
1985-10-01,7.1
1985-11-01,7.0
1985-12-01,7.0
1986-01-01,6.7
1986-02-01,7.2
1986-03-01,7.2
1986-04-01,7.1
1986-05-01,7.2
1986-06-01,7.2
1986-07-01,7.0
1986-08-01,6.9
1986-09-01,7.0
1986-10-01,7.0
1986-11-01,6.9
1986-12-01,6.6
1987-01-01,6.6
1987-02-01,6.6
1987-03-01,6.6
1987-04-01,6.3
1987-05-01,6.3
1987-06-01,6.2
1987-07-01,6.1
1987-08-01,6.0
1987-09-01,5.9
1987-10-01,6.0
1987-11-01,5.8
1987-12-01,5.7
1988-01-01,5.7
1988-02-01,5.7
1988-03-01,5.7
1988-04-01,5.4
1988-05-01,5.6
1988-06-01,5.4
1988-07-01,5.4
1988-08-01,5.6
1988-09-01,5.4
1988-10-01,5.4
1988-11-01,5.3
1988-12-01,5.3
