DATE,SURPLUS
1947-06-30,4018
1948-06-30,11796
1949-06-30,580
1950-06-30,-3119
1951-06-30,6102
1952-06-30,-1519
1953-06-30,-6493
1954-06-30,-1154
1955-06-30,-2993
1956-06-30,3947
1957-06-30,3412
1958-06-30,-2769
1959-06-30,-12849
1960-06-30,301
1961-06-30,-3335
1962-06-30,-7146
1963-06-30,-4756
1964-06-30,-5915
1965-06-30,-1411
1966-06-30,-3698
1967-06-30,-8643
1968-06-30,-25161
1969-06-30,3242
1970-06-30,-2842
1971-06-30,-23033
1972-06-30,-23373
1973-06-30,-14908
1974-06-30,-6135
1975-06-30,-53242
1976-06-30,-73732
1977-09-30,-53659
1978-09-30,-59185
1979-09-30,-40726
1980-09-30,-73830
1981-09-30,-78968
1982-09-30,-127977
1983-09-30,-207802
1984-09-30,-185367
1985-09-30,-212308
1986-09-30,-221227
1987-09-30,-149730
1988-09-30,-155178
1989-09-30,-152639
1990-09-30,-221036
1991-09-30,-269238
1992-09-30,-290321
1993-09-30,-255051
1994-09-30,-203186
1995-09-30,-163952
1996-09-30,-107431
1997-09-30,-21884
1998-09-30,69270
1999-09-30,125610
2000-09-30,236241
2001-09-30,128236
2002-09-30,-157758
2003-09-30,-377585
2004-09-30,-412727
2005-09-30,-318346
2006-09-30,-248181
2007-09-30,-160701
2008-09-30,-458553
2009-09-30,-1412688
2010-09-30,-1294373
2011-09-30,-1299599
2012-09-30,-1076573.0
2013-09-30,-679775.0
2014-09-30,-484793.0
2015-09-30,-441960.0
2016-09-30,-584650.0
2017-09-30,-665450.0
2018-09-30,-779140.0
2019-09-30,-983596.0
2020-09-30,-3132457.0
2021-09-30,-2775359.0
2022-09-30,-1375481.0
2023-09-30,-1695148.0
